Date,ACC,AHH,AIV,AMH,APTS,AVB,BOWFF,BRG,BRT,CPT,ELS,EQR,ESS,GADS,IIPZF,INVH,IRT,MAA,MRTI,NXRT,OPI,RESI,RPT,SNR,SRC,SUI,UDFI,UDR,UMH,AIII
2019-05-01,47.11000061035156,16.18000030517578,49.34000015258789,23.8799991607666,15.880000114440918,201.16000366210938,29.010000228881836,11.100000381469727,13.989999771118164,100.38999938964844,58.650001525878906,76.5199966430664,283.67999267578125,,10.729999542236328,24.780000686645508,10.649999618530273,109.25,121.5,38.13999938964844,26.780000686645508,9.930000305175781,12.239999771118164,5.630000114440918,41.029998779296875,123.7699966430664,4.900000095367432,44.5,13.970000267028809,
2019-05-02,47.150001525878906,15.40999984741211,49.060001373291016,24.010000228881836,15.739999771118164,201.44000244140625,28.8700008392334,11.100000381469727,14.0,99.9800033569336,58.8849983215332,76.4000015258789,283.05999755859375,,10.729999542236328,24.760000228881836,10.539999961853027,109.56999969482422,121.5,37.52000045776367,26.299999237060547,9.9399995803833,12.539999961853027,5.590000152587891,42.400001525878906,123.83999633789062,4.909999847412109,44.2599983215332,13.890000343322754,
2019-05-03,47.310001373291016,16.030000686645508,50.04999923706055,24.280000686645508,16.059999465942383,202.16000366210938,29.010000228881836,11.289999961853027,14.050000190734863,100.83000183105469,59.22999954223633,76.58999633789062,284.3399963378906,,10.729999542236328,24.889999389648438,10.800000190734863,109.8499984741211,135.0,38.93000030517578,28.40999984741211,10.289999961853027,12.779999732971191,6.090000152587891,41.70000076293945,123.70999908447266,5.0,44.470001220703125,13.949999809265137,
2019-05-06,47.11000061035156,16.420000076293945,49.7599983215332,24.15999984741211,16.100000381469727,200.57000732421875,29.010000228881836,11.399999618530273,14.1899995803833,100.88999938964844,59.275001525878906,76.20999908447266,283.8599853515625,,10.729999542236328,24.850000381469727,10.65999984741211,109.83000183105469,135.0,39.11000061035156,28.030000686645508,10.069999694824219,12.84000015258789,6.110000133514404,42.150001525878906,123.91999816894531,5.0,44.369998931884766,13.649999618530273,
2019-05-07,46.25,16.15999984741211,49.08000183105469,23.65999984741211,15.920000076293945,196.7899932861328,29.010000228881836,11.109999656677246,14.180000305175781,99.06999969482422,58.0,74.7699966430664,278.9100036621094,,10.119999885559082,24.610000610351562,10.5,107.9800033569336,135.0,38.060001373291016,26.889999389648438,10.029999732971191,12.449999809265137,6.010000228881836,41.5099983215332,121.83999633789062,4.849999904632568,43.54999923706055,13.149999618530273,
2019-05-08,45.90999984741211,16.100000381469727,49.11000061035156,23.530000686645508,15.930000305175781,196.4499969482422,29.010000228881836,11.039999961853027,14.220000267028809,98.75,57.58000183105469,74.44000244140625,278.4800109863281,,10.119999885559082,24.440000534057617,10.470000267028809,108.95999908447266,135.0,39.970001220703125,26.809999465942383,11.079999923706055,12.520000457763672,6.119999885559082,41.540000915527344,121.1500015258789,4.920000076293945,43.599998474121094,13.220000267028809,
2019-05-09,45.91999816894531,16.260000228881836,49.40999984741211,23.639999389648438,15.880000114440918,198.52999877929688,29.010000228881836,10.9399995803833,14.170000076293945,99.8499984741211,57.85499954223633,74.81999969482422,280.0899963378906,,10.119999885559082,24.68000030517578,10.550000190734863,109.6500015258789,135.0,41.349998474121094,26.93000030517578,11.0,12.520000457763672,6.210000038146973,41.720001220703125,122.05999755859375,5.099999904632568,43.709999084472656,13.300000190734863,
2019-05-10,45.90999984741211,16.40999984741211,49.88999938964844,23.790000915527344,16.170000076293945,200.7100067138672,29.219999313354492,10.989999771118164,14.220000267028809,100.9800033569336,58.51499938964844,75.83000183105469,283.8399963378906,,10.119999885559082,25.030000686645508,10.789999961853027,111.02999877929688,135.0,41.310001373291016,26.639999389648438,11.0,12.6899995803833,6.320000171661377,42.2400016784668,122.95999908447266,4.860000133514404,44.400001525878906,13.3100004196167,
2019-05-13,46.09000015258789,16.440000534057617,49.849998474121094,23.829999923706055,16.079999923706055,200.63999938964844,29.219999313354492,10.970000267028809,13.949999809265137,100.80999755859375,58.80500030517578,75.83999633789062,283.6099853515625,,10.119999885559082,24.84000015258789,10.710000038146973,111.08000183105469,135.0,41.06999969482422,26.559999465942383,10.829999923706055,12.670000076293945,6.340000152587891,42.63999938964844,124.37000274658203,4.849999904632568,44.380001068115234,13.199999809265137,
2019-05-14,46.189998626708984,16.440000534057617,49.7400016784668,23.719999313354492,16.09000015258789,199.75,29.290000915527344,11.0,14.199999809265137,101.19999694824219,58.625,75.80999755859375,282.5799865722656,,10.119999885559082,24.760000228881836,10.819999694824219,111.4800033569336,135.0,41.029998779296875,26.90999984741211,10.979999542236328,12.649999618530273,6.480000019073486,42.599998474121094,123.41999816894531,5.0,44.36000061035156,13.170000076293945,
2019-05-15,46.70000076293945,16.489999771118164,50.06999969482422,23.8700008392334,16.389999389648438,200.6999969482422,29.290000915527344,11.0,14.300000190734863,101.55999755859375,58.92499923706055,76.19000244140625,284.1700134277344,,10.119999885559082,24.969999313354492,10.84000015258789,112.63999938964844,135.0,40.36000061035156,27.270000457763672,10.979999542236328,12.65999984741211,6.53000020980835,42.7599983215332,124.13999938964844,5.0,44.619998931884766,13.170000076293945,
