,KY,MT,ND,Portfolio,WV,WY
73,248246.26085379205,586053.4273767127,504336.7415164873,390846.25416374893,147504.54447033614,468090.2966014166
74,234149.95630003713,604593.6983831978,475487.35994068725,379976.23350542726,152401.72185774255,433248.43104547163
75,238835.91594855595,588632.7869124393,527338.3942939461,396535.8546599801,145956.7805208041,481915.39562415506
76,232367.36781827107,525001.0525293748,497605.90765851195,381080.7500634458,146988.42469525908,503440.997615812
77,229049.34500230127,587667.5875523848,520109.65636179503,399023.5882419229,152410.3649112405,505880.9873818927
78,218690.0262337729,561054.4941937989,523196.18736176094,381658.09295189264,143770.88431597693,461578.8726541534
79,226615.2609233821,579270.716130381,544183.6343862725,392140.21692706837,153737.53778568684,456893.9354096193
80,239645.05867371755,610609.1442637647,521666.1683475573,405900.76409598265,149547.70970942557,508035.7394854483
81,240292.3708577118,575377.8698160151,458604.9184655814,376308.0995965381,140350.99226784668,466914.3465755353
82,238518.1248987941,606487.281642623,518250.36849539937,389734.4970118542,152134.68794546378,433282.0220769905
83,235632.3439327107,661484.5742422314,483958.67006094137,393466.5163603251,146197.36447584172,440059.6290899002
84,241705.65044806423,560398.3375537937,500665.3363786631,393561.991448245,160964.79642557466,504075.8364351292
85,235274.27192582705,563233.1345591852,532809.0347890661,401065.5063812542,147323.6392301154,526687.4514020771
86,230481.90837005601,557412.9859772761,459022.64138198167,381186.4946245042,151189.9212096545,507825.01618355245
87,237131.08638664908,548243.296250836,547942.7355406459,383092.5009146311,158382.0752717475,423763.3111232769
88,217596.1920995729,540771.6526859864,467787.1060768861,374700.97469962545,150736.56707828838,496613.3555573936
89,248115.69202078698,555203.8507155319,491465.4042301765,383177.01280761126,139352.72440704284,481747.3926645181
90,219015.40373175967,617179.1846236994,477324.2092808573,394080.48305549315,146825.02265296652,510058.5949881827
91,250233.20968349764,546007.4788099825,484840.8690737172,381621.3669486452,144968.37113841582,482056.9060376127
92,235498.65272395496,560118.8830698822,487900.3075535925,380406.9259128339,146524.14621544795,471992.6400012919
93,226937.89969269023,639433.3024263683,485264.4465636488,389753.3522982098,152996.00228900925,444135.11051933223
94,238233.57711832246,586985.4879823945,478039.08001731196,383528.94093659555,155206.1758657742,459180.3836991747
95,240457.71943985525,642746.6352544075,489104.4174889578,410463.671951848,146716.37136768762,533293.2162083318
96,235028.67460459739,579270.9235841475,519022.3839701891,396625.5774541889,152909.51796878825,496896.38714322227
97,229283.14273980903,573753.9803243239,482662.38702472224,378861.0538878478,150829.40023971043,457776.3591106734
98,225265.27399403084,573913.384482945,472533.8202388583,373284.7029913958,145206.8047899336,449504.2314512111
99,229804.1752671697,580964.8960165334,492092.0226897749,383802.19734290335,150908.79041633222,465241.1023247064
100,243081.5590661332,579680.7815779063,474900.67869537993,384744.8623858761,145029.5611459944,481031.7314439667
101,236379.79763051984,574642.8114347676,495803.7945312489,386800.45176015777,145987.95090348192,481187.90430077043
102,235860.3212050675,592645.648746569,497728.04353048664,390414.2177203951,149050.77314062472,476786.3019792277
103,237372.75526202528,642807.5103292334,487095.6721814888,397287.492867731,152243.5490182814,466917.97754762624
104,236399.8256562802,597665.9722611717,484848.6873667358,390086.37735643954,159106.09894936348,472411.3025486464
105,220996.20275180542,550075.2961307317,532154.0304437807,386735.68110565445,150017.72112033798,480435.1550816165
106,247487.5863028284,566594.9959345977,442584.3716428058,374188.8696024179,156367.0347551367,457910.3593767207
107,240431.1448529816,572819.1157079827,506908.78245972784,387170.8156163632,151296.76436759613,464398.2706935277
108,258645.65139302413,573347.6345074285,477855.76063822175,370617.7269531498,146975.17223333244,396264.4159937418
109,227562.60769919798,601368.5259254492,484446.3393481129,387383.18956004473,142716.66670052795,480821.80812693556
110,231325.61854195307,607184.6404826795,477216.00184596475,380815.7814445271,137862.9660994919,450489.68025254604
111,222512.82280921307,543624.3035362709,481903.1558968044,371989.92496087885,152117.5496815538,459791.79288055206
112,227848.21368170553,566522.6276990825,517630.41523809836,389004.7631135277,151991.06155298185,481031.49739577033
113,251986.2671685032,602054.9553039607,477174.8285898925,390296.1227350163,145082.2119790344,475182.3506336907
114,242561.49334153006,585345.5605637196,502235.4061470892,397822.0345278185,149361.8363017194,509605.87628503406
115,229953.77902400307,634838.40156963,472136.39116491564,384210.30539459595,138798.75224706164,445324.20296736935
116,241496.86399188935,635628.1401289123,513006.27913153317,407515.4365380171,155285.1272145346,492160.7722232158
117,230078.427838004,599357.8017939109,492840.8630999997,391432.60569132736,157144.535331901,477741.4003928213
