Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange,F(1) Consensus Sales Est. ($mil),P/E (F1)
"Bridge Bancorp, Inc.",BDGE,378.21,NO,NSDQ,173.64999,7.77
"BioDelivery Sciences International, Inc.",BDSI,420.13,NO,NSDQ,158.44,21.68
"BioTelemetry, Inc.",BEAT,1502.16,NO,NSDQ,484.324,21.02
"Beacon Roofing Supply, Inc.",BECN,1217.18,NO,NSDQ,6862.75781,10.1
Bank First National Corporation,BFC,364.96,NO,NSDQ,91.19999,12.56
BankFinancial Corporation,BFIN,120.19,NO,NSDQ,54.7,12.02
"Business First Bancshares, Inc.",BFST,168.24,NO,NSDQ,129.03599,7.01
"Health Insurance Innovations, Inc.",BFYT,327.37,NO,NSDQ,322.35299,6.8
"BGC Partners, Inc.",BGCP,979.69,NO,NSDQ,2263.05004,4.36
"Brighthouse Financial, Inc.",BHF,2352.05,NO,NSDQ,7687.56005,2.58
BLACKLINE INC,BL,3307.38,NO,NSDQ,341.86499,136.46
"Builders FirstSource, Inc.",BLDR,1710.01,NO,NSDQ,7022.6582,10.83
"BioLife Solutions, Inc.",BLFS,223.13,NO,NSDQ,49.50199,105.58
"Blackbaud, Inc.",BLKB,2412.57,NO,NSDQ,911.95697,24
"BMC Stock Holdings, Inc.",BMCH,1159.24,NO,NSDQ,3415.36499,13.75
Bank of Marin Bancorp,BMRC,426.62,NO,NSDQ,114.94999,15.4
BioMarin Pharmaceutical Inc.,BMRN,17589.85,NO,NSDQ,1982.25903,61.03
Bryn Mawr Bank Corporation,BMTC,532.53,NO,NSDQ,223.615,24.78
Bank of Commerce Holdings (CA),BOCH,126.74,NO,NSDQ,60,11.14
BOK Financial Corporation,BOKF,3253.75,NO,NSDQ,1778.85498,9.32
DMC Global Inc.,BOOM,364.13,NO,NSDQ,239.25,32.27
"Boston Private Financial Holdings, Inc.",BPFH,597.84,NO,NSDQ,323.73199,9.89
"Popular, Inc.",BPOP,3103.31,NO,NSDQ,2409.47998,7.42
The Bank of Princeton,BPRN,132.7,NO,NSDQ,47.89799,11.9
"Brookline Bancorp, Inc.",BRKL,845.54,NO,NSDQ,277.475,13.03
Bruker Corporation,BRKR,5686.97,NO,NSDQ,1974.99304,26.92
"Brooks Automation, Inc.",BRKS,2567.87,NO,NSDQ,869.833,30.73
"BRP Group, Inc.",BRP,191.65,NO,NSDQ,211.10299,41.51
Berry Petroleum Corporation,BRY,219.24,NO,NSDQ,538.70001,3.7
Sierra Bancorp,BSRR,279.95,NO,NSDQ,122.04,10.68
BioSpecifics Technologies Corp,BSTC,407.78,NO,NSDQ,43.9,14.66
Bank7 Corp.,BSVN,65.13,NO,NSDQ,37.7,5.75
First Busey Corporation,BUSE,894.12,NO,NSDQ,389.04299,9.83
"Bridgewater Bancshares, Inc.",BWB,263.65,NO,NSDQ,83.536,10.07
"Broadwind Energy, Inc.",BWEN,23.13,NO,NSDQ,207.5,8.18
"Bankwell Financial Group, Inc.",BWFG,115.63,NO,NSDQ,62.2,10.13
"Beyond Meat, Inc.",BYND,6727.93,NO,NSDQ,417.65798,1279.77
Baozun Inc.,BZUN,1873.76,NO,NSDQ,1283.14001,27.44
"China Automotive Systems, Inc.",CAAS,57.47,NO,NSDQ,417.54998,18.3
Camden National Corporation,CAC,434,NO,NSDQ,166.807,10.43
Credit Acceptance Corporation,CACC,4933.08,NO,NSDQ,1437.06005,13.53
CalAmp Corp.,CAMP,199.83,NO,NSDQ,339.337,15.9
Camtek Ltd.,CAMT,381.31,NO,NSDQ,140.94999,15.29
Carter Bank & Trust,CARE,219.93,NO,NSDQ,129.955,9.25
"CarGurus, Inc.",CARG,2240.33,NO,NSDQ,540.21997,69.39
Carolina Financial Corporation,CARO,728.89,NO,NSDQ,219.33,11.14
"Casa Systems, Inc.",CASA,390.65,NO,NSDQ,341.76199,80.35
"Meta Financial Group, Inc.",CASH,608.8,NO,NSDQ,490.40701,6.2
"Casey's General Stores, Inc.",CASY,5657.81,NO,NSDQ,9199.30273,23.97
