Company Name,Ticker,Market Cap (mil),P/E (F1),S&P 500 - ETF,F(1) Consensus Sales Est. ($mil)
"Farmer Brothers Company","FARM","134.75","34.76","NO","558.98999"
"First Business Financial Services, Inc.","FBIZ","144.82","9.45","NO","96.09999"
"First Community Corporation","FCCO","111.19","14.33","NO","49.27999"
"1st Constitution Bancorp (NJ)","FCCY","116.4","7.04","NO","63.63"
"Adherex Technologies Inc.","FENC","143.25","3.92","NO","56.18999"
"First Financial Northwest, Inc.","FFNW","92.17","11.86","NO","45.29999"
"Osprey Energy Acquisition Corp.","FLMN","190.84","9.25","NO","51.09999"
"FLUENT, INC.","FLNT","141.94","37.4","NO","262.64001"
"Fly Leasing Limited","FLY","160.98","1.87","NO","372.42001"
"FEDNAT HOLDING CO","FNHC","157.8","7.33","NO","486.70999"
"Finjan Holdings, Inc.","FNJN","33.72","2","NO","61"
"Funko, Inc.","FNKO","182.01","5.46","NO","753.78002"
"First Bank","FRBA","128.32","7.35","NO","69.59999"
"FS Bancorp, Inc.","FSBW","172.9","8.03","NO","94.735"
"Flexible Solutions International Inc.","FSI","19.58","8.89","NO","27.17"
"L.B. Foster Company","FSTR","152.35","7.11","NO","667.61999"
"Fvcbankcorp, Inc.","FVCB","163.9","11.87","NO","51.59999"
"Garrison Capital Inc.","GARS","33.54","3.48","NO","33.38999"
"StealthGas, Inc.","GASS","82","19","NO","135.69"
"Goodrich Petroleum Corporation","GDP","95.13","759","NO","110.44699"
"Great Elm Capital Group, Inc.","GECC","34.92","3.67","NO","27.59399"
"Guaranty Federal Bancshares, Inc.","GFED","66.73","8.34","NO","39"
"General Finance Corporation","GFN","175.06","8.8","NO","370"
"Gladstone Capital Corporation","GLAD","194.07","7.39","NO","51.91299"
"Golar LNG Partners LP","GMLP","199.59","3.77","NO","289.01699"
"LRAD Corporation","GNSS","120.49","28","NO","45.29999"
"Great Panther Silver Limited","GPL","146.74","31.36","NO","232.66"
"Green Plains Partners LP","GPP","109.08","2.93","NO","77.69"
"GP Strategies Corporation","GPX","104.7","7.36","NO","581.93701"
"GrowGeneration Corp.","GRWG","174.28","30.47","NO","128.83999"
"Global Ship Lease, Inc.","GSL","82.69","2.68","NO","295.32"
"Hallmark Financial Services, Inc.","HALL","56.36","7.78","NO","500.553"
"Harvard Bioscience, Inc.","HBIO","103.15","11.7","NO","119.5"
"Howard Bancorp, Inc.","HBMD","188.28","13.06","NO","78.94"
"Harvest Capital Credit Corporation","HCAP","25.98","5.19","NO","15.39"
"Hallador Energy Company","HNRG","20.86","4.29","NO","259.70001"
"Horizon Technology Finance Corporation","HRZN","161.48","7.56","NO","46.316"
"Hudson Global, Inc.","HSON","27.65","188.32","NO","104.5"
"Hersha Hospitality Trust","HT","183.7","10.5","NO","389.35"
"County Bancorp, Inc.","ICBK","118.43","11.54","NO","48.91999"
"CM Finance Inc","ICMB","66.58","4.68","NO","34.40999"
"Intellicheck Mobilisa, Inc.","IDN","83.64","221.14","NO","12.22"
"Information Services Group, Inc.","III","112.36","9.56","NO","266.85699"
"IntriCon Corporation","IIN","104.26","169","NO","106.18"
"First Internet Bancorp","INBK","154.81","10.7","NO","83.25"
"InnerWorkings, Inc.","INWK","60.49","6.44","NO","1150.71997"
"Intrepid Potash, Inc","IPI","121","6.35","NO","187.94999"
"IRSA Inversiones Y Representaciones S.A.","IRS","166.08","26.09","NO","172.08999"
"Issuer Direct Corporation","ISDR","34.99","19.66","NO","17.43"
"Investar Holding Corporation","ISTR","135.98","7.64","NO","82.34999"
"Intevac, Inc.","IVAC","126.75","20.69","NO","117.9"
"Communications Systems, Inc.","JCS","51.65","50.73","NO","52.2"
"Jiayin Group Inc. Sponsored ADR","JFIN","128.31","3","NO","242.19999"
"JMP Group LLC","JMP","48.05","7.03","NO","124"
"Jianpu Technology Inc.","JT","152.04","12","NO","432.975"
"The Joint Corp.","JYNT","161.63","52.73","NO","54.94499"
"Kingstone Companies, Inc","KINS","54.34","18.29","NO","132.43499"
"GigCapital, Inc.","KLR","141.78","27.31","NO","162.46"
"Lakeland Industries, Inc.","LAKE","119.99","19.3","NO","116"
"LCNB Corporation","LCNB","184.49","9.83","NO","69.68"
"Lifetime Brands, Inc.","LCUT","110.95","13.74","NO","715.59002"
"Level One Bancorp, Inc.","LEVL","132.11","9.33","NO","76.94999"
"Lincoln Educational Services Corporation","LINC","65.91","10.42","NO","286.07"
"LiqTech International, Inc.","LIQT","89.21","86.8","NO","42.65"
"Limbach Holdings, Inc.","LMB","22.95","2.95","NO","585"
"LIMESTONE BANCORP, INC.","LMST","73.69","28.31","NO","47.65"
"Spark Networks, Inc.","LOV","4.26","5.84","NO","251.6"
"Laredo Petroleum, Inc.","LPI","178.64","1.99","NO","695.61199"
"Lantronix, Inc.","LTRX","75.17","67.75","NO","59.59999"
"LSI Industries Inc.","LYTS","150.28","52.27","NO","324.45999"
"Middlefield Banc Corp.","MBCN","105.16","14.35","NO","45.03499"
"MASTERCRAFT BOAT HOLDINGS, INC.","MCFT","195.42","6.35","NO","382.53799"
"Mesa Air Group, Inc.","MESA","101.43","9.49","NO","622.07501"
"RAMACO RESOURCS","METC","96.23","6.1","NO","202.51499"
"Medallion Financial Corp.","MFIN","60.28","3.56","NO","131.24"
"Mackinac Financial Corporation","MFNC","109.76","10.22","NO","57.09999"
"Mistras Group Inc","MG","112.36","11.06","NO","763.90002"
"Mastech Digital, Inc","MHH","146.77","15.52","NO","192.94999"
"Malvern Bancorp, Inc.","MLVF","91.54","13.08","NO","30.48999"
"Mamamancini'S Holdings, Inc.","MMMB","51.1","13.58","NO","45"
"Manning & Napier, Inc.","MN","54.66","14","NO","115.16999"
"MainStreet Bank","MNSB","119.69","8.42","NO","55.41999"
"Mid Penn Bancorp","MPB","160.97","11.75","NO","84.5"
"Meridian Bank","MRBK","80.69","10.03","NO","74.125"
"Monroe Capital Corporation","MRCC","180.12","6.59","NO","64.024"
"Mvb Financial Corp.","MVBF","152.8","12.12","NO","127.5"
"First Western Financial, Inc.","MYFW","96.2","11.85","NO","73.69999"
"Natural Gas Services Group, Inc.","NGS","73.6","50","NO","76.18"
"National Bankshares, Inc.","NKSH","192.8","13.15","NO","46.5"
"NMC Health PLC Unsponsored ADR","NMHLY","177.44",".47","NO","2813.19995"
"Navios Maritime Partners LP","NMM","79.88","6.99","NO","261.29"
"NN, Inc.","NNBR","132.15","8.13","NO","812.93701"
"North American Construction Group Ltd.","NOA","148.46","5.13","NO","470.55499"
"NexPoint Real Estate Finance, Inc.","NREF","55","8.76","NO","36.15999"
"Northrim BanCorp Inc","NRIM","157.5","11.45","NO","97.4"
"Capitol Investment Corp. IV","NSCO","110.32","225","NO","346.16"
"Northern Technologies International Corporation","NTIC","67.96","106.71","NO","49.29999"
"NetSol Technologies Inc.","NTWK","26.09","74","NO","61.09999"
"Oaktree Strategic Income Corp.","OCSI","188.29","9.61","NO","48.09999"
"Orion Energy Systems, Inc.","OESX","121.67","9.57","NO","149.19999"
"OFS Capital Corporation","OFS","58.72","3.36","NO","53.83"
"Oasis Midstream Partners LP","OMP","160.6","1.41","NO","347.89999"
"On Deck Capital, Inc.","ONDK","70.69","5.38","NO","434.21499"
"OneWater Marine Inc.","ONEW","128.76","40.23","NO","677.85302"
"OP Bancorp","OPBK","108.95","10.27","NO","54.2"
"Opiant Pharmaceuticals, Inc.","OPNT","45.99","1627.5","NO","29.67499"
"Oportun Financial Corporation","OPRT","162.02","2.58","NO","729.78002"
"OptimizeRx Corp.","OPRX","140.5","180","NO","31.80299"
"Orion Group Holdings, Inc.","ORN","61.79","10.82","NO","732.62799"
"Orrstown Financial Services Inc","ORRF","157.1","8.33","NO","104.51"
"One Stop Systems, Inc.","OSS","22.88","11.58","NO","64"
"Private Bancorp of America, Inc.","PBAM","69.83","8.01","NO","51"
"PCB BANCORP","PCB","126.34","7.83","NO","74.067"
"PCTEL, Inc.","PCTI","121.59","18.8","NO","84.01"
"Pennsylvania Real Estate Investment Trust","PEI","75.44",".81","NO","352.138"
"Perion Network Ltd","PERI","123.08","9.02","NO","304.29998"
"Professional Holding Corp.","PFHD","190.34","30.88","NO","55.79999"
"PFSweb, Inc.","PFSW","72.41","11.63","NO","301.55999"
"Alpine Income Property Trust, Inc.","PINE","91.69","9.28","NO","19.02499"
"Pacific Mercantile Bancorp","PMBC","77.98","70.4","NO","52"
"Perceptron, Inc.","PRCP","25.98","17.87","NO","71.355"
"PRGX Global, Inc.","PRGX","80.79","17.44","NO","166.07"
"Provident Financial Holdings, Inc.","PROV","96.61","10.58","NO","43.09999"
"Party City Holdco Inc.","PRTY","41.58",".63","NO","2268.68701"
"Postal Realty Trust, Inc.","PSTL","81.85","13.68","NO","18.97699"
"P.A.M. Transportation Services, Inc.","PTSI","193.45","11.19","NO","496.6"
"Penn Virginia Corporation","PVAC","64.57",".74","NO","426.66"
"I.D. Systems, Inc.","PWFL","145.76","23.38","NO","138.08999"
"QEP Resources, Inc.","QEP","114.08","8.23","NO","933.89398"
"Quantum Corporation","QMCO","159.43","11.43","NO","393.29998"
"Reliant Bancorp, Inc.","RBNC","137.57","8.58","NO","102.16999"
"Rocky Brands, Inc.","RCKY","152.78","9.03","NO","277.20001"
"RCM Technologies, Inc.","RCMT","17.86","3.4","NO","198.99"
"Ring Energy, Inc.","REI","45.75","4.98","NO","157.51199"
"Recro Pharma, Inc.","REPH","192.1","21.27","NO","99.4"
"RF Industries, Ltd.","RFIL","48.79","12.19","NO","65.08"
"RCI Hospitality Holdings, Inc.","RICK","83.88","82.36","NO","161.89999"
"Regional Management Corp.","RM","162.71","3.62","NO","411.79998"
"KLR Energy Acquisition Corp.","ROSE","15.41",".89","NO","220"
"Riverview Bancorp Inc","RVSB","117.38","9.92","NO","55.2"
"RYB Education, Inc. Sponsored ADR","RYB","73.53","23.36","NO","205"
"Ryerson Holding Corporation","RYI","169.66","7.72","NO","3783.40698"
"Salisbury Bancorp, Inc.","SAL","94.8","10.26","NO","44.79999"
"Silvercrest Asset Management Group Inc.","SAMG","132.83","6.61","NO","112.41"
"Saratoga Investment Corp","SAR","164.49","6.42","NO","57.29499"
"Cassava Sciences, Inc.","SAVA","182.25","7.76","NO","50"
"SB ONE BANCORP","SBBX","173.81","8.68","NO","76.53299"
"SB Financial Group, Inc.","SBFG","107.4","10.26","NO","55.09999"
"SilverBow Resources Inc.","SBOW","59.45","1.01","NO","253.94999"
"Stellus Capital Investment Corporation","SCM","152.09","6.58","NO","59.81999"
"SouthCrest Financial Group Inc.","SCSG","38.07","9.32","NO","23.22999"
"Superior Drilling Products, Inc.","SDPI","11.69","27.59","NO","22.42499"
"SuperGroup PLC Unsponsored ADR","SEPGY","168.12","9.76","NO","937.23999"
"Superior Uniform Group, Inc.","SGC","114.22","7.84","NO","392.19"
"Shore Bancshares Inc","SHBI","129.2","15.18","NO","59.79999"
"Sify Technologies Limited","SIFY","40.01","20.2","NO","362.5"
"Select Bancorp, Inc.","SLCT","140.08","11.81","NO","61.54"
"Sharps Compliance Corp","SMED","123.83","84.78","NO","51.823"
"Smith Micro Software, Inc.","SMSI","177.68","11.84","NO","56.79999"
